Date,Open,High,Low,Close,Adj Close,Volume
2020-01-30,95.37590026855469,95.77754974365234,94.60350036621094,95.60247039794922,87.48851013183594,659212
2020-01-31,95.50978088378906,95.88053894042969,94.27394104003906,94.78887939453125,86.74398040771484,2807452
2020-02-03,95.04634094238281,96.3439712524414,94.85066986083984,94.93305969238281,86.87591552734375,630470
2020-02-04,95.49948120117188,97.1060791015625,95.21112060546875,96.77651977539062,88.56292724609375,474625
2020-02-05,96.98249053955078,98.59938049316406,96.6014404296875,98.13594055175781,89.80696105957031,621926
2020-02-06,98.4552001953125,98.73326873779297,96.80741119384766,97.06488037109375,88.82681274414062,314119
2020-02-07,97.09577941894531,97.37384033203125,96.64263916015625,96.92070007324219,88.69485473632812,216824
2020-02-10,97.38414001464844,97.38414001464844,96.43666076660156,96.82801055908203,88.61003875732422,416268
2020-02-11,96.910400390625,98.11534118652344,96.910400390625,97.4150390625,89.1472396850586,402285
2020-02-12,97.73429870605469,98.68177032470703,97.43563079833984,97.66220092773438,89.3734359741211,514242
2020-02-13,97.1678695678711,97.87847900390625,97.1678695678711,97.48712921142578,89.21322631835938,376165
2020-02-14,97.5901107788086,98.24922943115234,97.37384033203125,97.87847900390625,89.57135772705078,335675
2020-02-18,97.94026947021484,98.65087127685547,96.77651977539062,98.63027954101562,90.25934600830078,737669
2020-02-19,98.7023696899414,98.79505920410156,96.52935028076172,96.73532104492188,88.52519989013672,699897
2020-02-20,96.70442962646484,97.48712921142578,96.41606903076172,96.9721908569336,88.74198150634766,402382
2020-02-21,96.74562072753906,97.29145050048828,95.85993957519531,96.16889953613281,88.00688171386719,880212
2020-02-24,94.85066986083984,95.18022918701172,92.68795013427734,93.6457290649414,85.6978530883789,798939
2020-02-25,93.71781921386719,93.71781921386719,88.38311004638672,88.46549987792969,80.95726776123047,1164812
2020-02-26,88.90834045410156,89.1246109008789,87.42533874511719,87.56951904296875,80.13733673095703,1043534
2020-02-27,86.27188873291016,86.88980102539062,82.8424301147461,82.8424301147461,75.81144714355469,1233073
2020-02-28,81.1843490600586,82.01853942871094,78.0947494506836,80.78269958496094,73.926513671875,1501846
2020-03-02,81.26673126220703,84.11946105957031,79.382080078125,83.80020904541016,76.68793487548828,1001489
2020-03-03,83.7693099975586,85.81874084472656,82.43048095703125,83.12049102783203,76.06591033935547,1201418
2020-03-04,84.33573913574219,87.63130950927734,84.23274993896484,87.12667083740234,79.73206329345703,1078878
2020-03-05,85.41709899902344,86.68383026123047,83.36766052246094,85.19052124023438,77.96025085449219,1012073
2020-03-06,82.24510955810547,83.78990936279297,80.54582977294922,82.98661041259766,75.94338989257812,1044602
2020-03-09,78.53759002685547,80.94747924804688,75.43769073486328,75.59217071533203,69.17652893066406,1887818
2020-03-10,77.57981872558594,77.7857894897461,73.23377990722656,77.17816925048828,70.6279296875,1772075
2020-03-11,74.97425079345703,75.26261901855469,69.28939056396484,70.02059936523438,64.07781982421875,1538064
2020-03-12,64.79917907714844,67.98146057128906,60.041194915771484,61.79196548461914,56.547569274902344,1359109
2020-03-13,65.43769073486328,68.12564086914062,62.832130432128906,67.8887710571289,62.12692642211914,1472327
